date,kWh,building
2022-12-05 12:00:00,13.0,Kirk Hall Main Electricity Meter
2022-12-05 13:00:00,15.0,Kirk Hall Main Electricity Meter
2022-12-05 14:00:00,13.0,Kirk Hall Main Electricity Meter
2022-12-05 15:00:00,14.0,Kirk Hall Main Electricity Meter
2022-12-05 16:00:00,15.0,Kirk Hall Main Electricity Meter
2022-12-05 17:00:00,16.0,Kirk Hall Main Electricity Meter
2022-12-05 18:00:00,17.0,Kirk Hall Main Electricity Meter
2022-12-05 19:00:00,17.0,Kirk Hall Main Electricity Meter
2022-12-05 20:00:00,18.0,Kirk Hall Main Electricity Meter
2022-12-05 21:00:00,16.0,Kirk Hall Main Electricity Meter
2022-12-05 22:00:00,17.0,Kirk Hall Main Electricity Meter
2022-12-05 23:00:00,18.0,Kirk Hall Main Electricity Meter
2022-12-05 00:00:00,33.0,Turck Hall Main Electricity Meter
2022-12-05 01:00:00,35.0,Turck Hall Main Electricity Meter
2022-12-05 02:00:00,28.0,Turck Hall Main Electricity Meter
2022-12-05 03:00:00,22.0,Turck Hall Main Electricity Meter
2022-12-05 04:00:00,21.0,Turck Hall Main Electricity Meter
2022-12-05 05:00:00,19.0,Turck Hall Main Electricity Meter
2022-12-05 06:00:00,23.0,Turck Hall Main Electricity Meter
2022-12-05 07:00:00,21.0,Turck Hall Main Electricity Meter
2022-12-05 08:00:00,20.0,Turck Hall Main Electricity Meter
2022-12-05 09:00:00,22.0,Turck Hall Main Electricity Meter
2022-12-05 10:00:00,25.0,Turck Hall Main Electricity Meter
2022-12-05 11:00:00,26.0,Turck Hall Main Electricity Meter
2022-12-05 12:00:00,30.0,Turck Hall Main Electricity Meter
2022-12-05 13:00:00,35.0,Turck Hall Main Electricity Meter
2022-12-05 14:00:00,32.0,Turck Hall Main Electricity Meter
2022-12-05 15:00:00,27.0,Turck Hall Main Electricity Meter
2022-12-05 16:00:00,36.0,Turck Hall Main Electricity Meter
2022-12-05 17:00:00,39.0,Turck Hall Main Electricity Meter
2022-12-05 18:00:00,33.0,Turck Hall Main Electricity Meter
2022-12-05 19:00:00,28.0,Turck Hall Main Electricity Meter
2022-12-05 20:00:00,36.0,Turck Hall Main Electricity Meter
2022-12-05 21:00:00,31.0,Turck Hall Main Electricity Meter
2022-12-05 22:00:00,29.0,Turck Hall Main Electricity Meter
2022-12-05 23:00:00,36.0,Turck Hall Main Electricity Meter
2022-12-05 00:00:00,23.0,Wallace Hall Main Electricity Meter
2022-12-05 01:00:00,21.0,Wallace Hall Main Electricity Meter
2022-12-05 02:00:00,19.0,Wallace Hall Main Electricity Meter
2022-12-05 03:00:00,18.0,Wallace Hall Main Electricity Meter
2022-12-05 04:00:00,17.0,Wallace Hall Main Electricity Meter
2022-12-05 05:00:00,16.0,Wallace Hall Main Electricity Meter
2022-12-05 06:00:00,17.0,Wallace Hall Main Electricity Meter
2022-12-05 07:00:00,16.0,Wallace Hall Main Electricity Meter
2022-12-05 08:00:00,19.0,Wallace Hall Main Electricity Meter
2022-12-05 09:00:00,19.0,Wallace Hall Main Electricity Meter
2022-12-05 10:00:00,20.0,Wallace Hall Main Electricity Meter
2022-12-05 11:00:00,20.0,Wallace Hall Main Electricity Meter
2022-12-05 12:00:00,20.0,Wallace Hall Main Electricity Meter
2022-12-05 13:00:00,20.0,Wallace Hall Main Electricity Meter
2022-12-05 14:00:00,20.0,Wallace Hall Main Electricity Meter
2022-12-05 15:00:00,21.0,Wallace Hall Main Electricity Meter
2022-12-05 16:00:00,21.0,Wallace Hall Main Electricity Meter
2022-12-05 17:00:00,22.0,Wallace Hall Main Electricity Meter
2022-12-05 18:00:00,22.0,Wallace Hall Main Electricity Meter
2022-12-05 19:00:00,21.0,Wallace Hall Main Electricity Meter
2022-12-05 20:00:00,22.0,Wallace Hall Main Electricity Meter
2022-12-05 21:00:00,23.0,Wallace Hall Main Electricity Meter
2022-12-05 22:00:00,25.0,Wallace Hall Main Electricity Meter
2022-12-05 23:00:00,23.0,Wallace Hall Main Electricity Meter
